id_comuna,id_region,nombre_comuna,poblacion
125,21006,Melipilla,123627
126,21006,Alhue,6444
127,21006,Curacaví,32579
128,21006,Maria Pinto,13590
129,21006,San Pedro ,9726
130,21006,Talagante,74237
131,21006,El Monte,35923
132,21006,Isla de Maipo,36219
133,21006,Padre Hurtado,63250
134,21006,Peñaflor,90201
135,21007,Rancagua,241774
136,21007,Codegua,12988
137,21007,Coinco,7359
138,21007,Coltauco,19597
139,21007,Doñihue,20887
140,21007,Graneros,33437
141,21007,Las Cabras,24640
142,21007,Machali,52505
143,21007,Malloa,13407
144,21007,Mostazal,25343
145,21007,Olivar,13608
146,21007,Peumo,14313
147,21007,Pichidegua,19714
148,21007,Quinta de Tilcoco,13002
149,21007,Rengo,58825
150,21007,Requinoa,27968
151,21007,San Vicente,46766
152,21007,Pichilemu,16394
153,21007,La Estrella,3041
154,21007,Litueche,6294
155,21007,Marchihue,7308
156,21007,Navidad,6641
157,21007,Paredones,6188
158,21007,San Fernando,73973
159,21007,Chepica,15037
160,21007,Chimbarongo,35399
161,21007,Lolol,6811
162,21007,Rancagua,17833
163,21007,Palmilla,12482
164,21007,Peralillo,11007
165,21007,Placilla,8738
166,21007,Pumanque,3421
167,21007,Santa Cruz,37855
168,21008,Talca,220357
169,21008,Constitución,46068
170,21008,Curepto,9448
171,21008,Empedrado,4142
172,21008,Maule,49721
173,21008,Pelarco,8422
174,21008,Pencahue,8245
175,21008,RIo Claro,13906
176,21008,San Clemente,43269
177,21008,San Rafael,9191
178,21008,Cauquenes,40441
179,21008,Chanco,8928
180,21008,Pelluhue,7571
181,21008,Curicó,149136
182,21008,Hualañe,9657
183,21008,Licanten,6653
184,21008,Molina,45976
185,21008,Rauco,10484
186,21008,Romeral,15187
187,21008,Sagrada Familia,18544
188,21008,Teno,28921
189,21008,Vichuquen,4322
190,21008,Linares,93602
191,21008,Colbun,20765
192,21008,Longavi,30534
193,21008,Parral,41637
194,21008,Retiro,19974
195,21008,San Javier,45547
196,21008,Villa Alegre,16221
197,21008,Yerbas Buenas,18081
198,21009,Chillán,184739
199,21009,Bulnes,21493
200,21009,Chillan Viejo,30907
201,21009,EL Carmen,12044
202,21009,Pemuco,8448
203,21009,Pinto,10827
204,21009,Quillon,17485
205,21009,San Ignacio,16079
206,21009,Yungay,17787
207,21009,Quirihue,11594
208,21009,Cobquecura,5012
209,21009,Coelemu,15995
210,21009,Ninhue,5213
211,21009,Portezuelo,4862
212,21009,Ranquil,5755
213,21009,Treguaco,5401
214,21009,San Carlos,53024
215,21009,Coihueco,26881
216,21009,Ñiquen,11152
