id_institucion,id_comuna,nombre_institucion,nivel,afiliacion_institucion
10186,83,Colegio De Adult.Academia Estudios Miraflores,Basico/Medio,Privada
10187,83,Colegio De Adultos Instituto Andes,Basico/Medio,Privada
10188,83,Escuela Especial D-81  Anexo,Basico/Medio,Privada
10189,83,Centro Educacional De Adultos El Prado,Basico/Medio,Publica
10190,83,Colegio Particular Ozanam,Basico/Medio,Publica
10191,83,Escuela Educacion Especial Abecedario,Basico/Medio,Publica
10192,83,Colegio Hospital San Borja Arriaran,Basico/Medio,Publica
10193,83,Esc. Part. San Fco. De Asis Para Ninos Sordos,Basico/Medio,Publica
10194,83,Colegio De Adultos Gladys Lazo,Basico/Medio,Privada
10195,83,Colegio Nuevo Diego De Almagro,Basico/Medio,Privada
10196,83,Esc.Parvulos Particular  Los Angelitos,Basico/Medio,Publica
10197,83,Escuela Especial Santiago Apostol,Basico/Medio,Publica
10198,83,Escuela  Espec. Virgen De Las Penas,Basico/Medio,Publica
10199,83,Colegio Metodista De Santiago,Basico/Medio,Publica
10200,83,Escuela De Parvulos N°1765 Kimn,Basico/Medio,Privada
10201,83,My Little Garden,Basico/Medio,Privada
10202,83,Melodia,Basico/Medio,Privada
10203,83,Colegio Ctro. Integ  Adultos Altazol,Basico/Medio,Publica
10204,83,Escuela De Parvulos  N°1827 My Little Garden N° 2,Basico/Medio,Privada
10205,83,Colegio Particular María Auxiliadora De Santiago,Basico/Medio,Privada
10206,83,Colegio De Adultos Poliv. Condor,Basico/Medio,Privada
10207,83,Escuela De Parvulos N°1840 Hermano Andres,Basico/Medio,Privada
10208,83,Colegio De Adultos Santa Vicenta Maria,Basico/Medio,Publica
10209,83,Escuela De Parv. Y Especial Pelusita,Basico/Medio,Publica
10210,83,Escuela Esp. San Jose Obrero,Basico/Medio,Publica
10211,83,Escuela Parvulos Inst. Sweet N1,Basico/Medio,Publica
10212,83,Escuela De Parvulos N°1897 Institucion Sweet N°2,Basico/Medio,Privada
10213,83,Colegio De Adultos Inacap-Santiago Centro,Basico/Medio,Privada
10214,83,Escuela Bas. Continental School N_ 3,Basico/Medio,Privada
10215,83,Escuela Parvulos Pequeno Mundo,Basico/Medio,Privada
10216,83,Colegio Part. Adultos Instituto Icel,Basico/Medio,Publica
10217,83,Escuela De Parvulos N°1980  San Antonio Maria Zaccaria Ii,Basico/Medio,Privada
10218,83,Escuela Parv. San Antonio Maria Zaccaria,Basico/Medio,Publica
10219,83,Escuela Esp. Part. Ralui,Basico/Medio,Publica
10220,83,Escuela Esp. Mi Espacio,Basico/Medio,Publica
10221,83,Centro Educacional Santa Cecilia,Basico/Medio,Privada
10222,83,Escuela De Parv. Parque O'Higgins,Basico/Medio,Publica
10223,83,Escuela De Parvulos N°2043 Nido Azul,Basico/Medio,Privada
